번호,금융용어,정의,비유,왜 중요?,오해 교정,예시
,기업설명회,기업이 투자자나 애널리스트를 대상으로 경영 실적과 향후 계획을 설명하는 공식 행사,투자자에게 회사의 현재 상태와 미래를 소개하는 ‘기업 홍보 프레젠테이션’의 장,투자자에게 회사의 현재 상태와 미래를 소개하는 ‘기업 홍보 프레젠테이션’의 장,"‘기업설명회’가 곧 투자 유치를 의미하는 것은 아니며, NDR은 거래(Deal) 없는 정보 제공 목적의 행사",삼성전자는 해외 기관투자자 대상 NDR을 열어 반도체 시장 전망과 투자 전략을 공유했다.
,NDR,기업이 투자자나 애널리스트를 대상으로 경영 실적과 향후 계획을 설명하는 공식 행사,투자자에게 회사의 현재 상태와 미래를 소개하는 ‘기업 홍보 프레젠테이션’의 장,투자자에게 회사의 현재 상태와 미래를 소개하는 ‘기업 홍보 프레젠테이션’의 장,"‘기업설명회’가 곧 투자 유치를 의미하는 것은 아니며, NDR은 거래(Deal) 없는 정보 제공 목적의 행사",삼성전자는 해외 기관투자자 대상 NDR을 열어 반도체 시장 전망과 투자 전략을 공유했다.
,Non-Deal Roadshow,기업이 투자자나 애널리스트를 대상으로 경영 실적과 향후 계획을 설명하는 공식 행사,투자자에게 회사의 현재 상태와 미래를 소개하는 ‘기업 홍보 프레젠테이션’의 장,투자자에게 회사의 현재 상태와 미래를 소개하는 ‘기업 홍보 프레젠테이션’의 장,"‘기업설명회’가 곧 투자 유치를 의미하는 것은 아니며, NDR은 거래(Deal) 없는 정보 제공 목적의 행사",삼성전자는 해외 기관투자자 대상 NDR을 열어 반도체 시장 전망과 투자 전략을 공유했다.
,동결,기존 수준의 금리나 자산 상태를 변경 없이 그대로 유지하는 결정 또는 조치,움직임을 멈추고 그대로 얼려두는 ‘정지 버튼’의 상태,"금리 동결의 경우 경기 안정 신호로 작용하며, 중앙은행의 통화정책 방향을 가늠하는 핵심 지표","동결이 경제 안정만을 의미하지 않으며, 불확실성 속에서 신중한 관망 전략일 수도 있음",한국은행은 기준금리를 3.5%로 동결하며 경기 상황을 좀 더 지켜보겠다고 밝혔다.
,Freeze,기존 수준의 금리나 자산 상태를 변경 없이 그대로 유지하는 결정 또는 조치,움직임을 멈추고 그대로 얼려두는 ‘정지 버튼’의 상태,"금리 동결의 경우 경기 안정 신호로 작용하며, 중앙은행의 통화정책 방향을 가늠하는 핵심 지표","동결이 경제 안정만을 의미하지 않으며, 불확실성 속에서 신중한 관망 전략일 수도 있음",한국은행은 기준금리를 3.5%로 동결하며 경기 상황을 좀 더 지켜보겠다고 밝혔다.
,개인간대출,금융기관을 거치지 않고 온라인 플랫폼을 통해 개인이나 기업 간 직접 이루어지는 대출 거래 방식,은행을 통하지 않고 사람과 사람이 직접 돈을 빌려주는 ‘디지털 금융 장터’,중개 비용 절감과 투자 기회 확대를 통해 금융 접근성을 높이고 개인 투자 시장을 확장하는 혁신 금융 모델,"P2P 대출은 은행 예금처럼 원금이 보장되지 않으며, 투자 손실 가능성이 존재함",그는 부동산 담보 기반 P2P 대출 플랫폼에 100만 원을 투자해 10개월간 이자를 받았다.
,Peer-to-Peer Lending,금융기관을 거치지 않고 온라인 플랫폼을 통해 개인이나 기업 간 직접 이루어지는 대출 거래 방식,은행을 통하지 않고 사람과 사람이 직접 돈을 빌려주는 ‘디지털 금융 장터’,중개 비용 절감과 투자 기회 확대를 통해 금융 접근성을 높이고 개인 투자 시장을 확장하는 혁신 금융 모델,"P2P 대출은 은행 예금처럼 원금이 보장되지 않으며, 투자 손실 가능성이 존재함",그는 부동산 담보 기반 P2P 대출 플랫폼에 100만 원을 투자해 10개월간 이자를 받았다.
,P2P 대출,금융기관을 거치지 않고 온라인 플랫폼을 통해 개인이나 기업 간 직접 이루어지는 대출 거래 방식,은행을 통하지 않고 사람과 사람이 직접 돈을 빌려주는 ‘디지털 금융 장터’,중개 비용 절감과 투자 기회 확대를 통해 금융 접근성을 높이고 개인 투자 시장을 확장하는 혁신 금융 모델,"P2P 대출은 은행 예금처럼 원금이 보장되지 않으며, 투자 손실 가능성이 존재함",그는 부동산 담보 기반 P2P 대출 플랫폼에 100만 원을 투자해 10개월간 이자를 받았다.
,온라인투자연계금융업,온라인 플랫폼을 통해 다수의 투자자 자금을 모아 차입자에게 대출해주는 금융 중개업,여러 사람의 돈을 모아 필요한 사람에게 연결해주는 ‘디지털 금융 다리’,혁신 금융서비스로서 비은행권 대출의 투명성과 투자자 보호를 제도권 안으로 포함한 제도적 틀,"P2P 대출과 완전히 동일하지 않으며, 법적 인가를 받은 업체만이 정식 온라인투자연계금융업자로 활동 가능",해당 스타트업은 금융위원회 인가를 받아 온라인투자연계금융업자로 등록하고 개인 간 대출 서비스를 운영 중이다.
,P2P금융업,온라인 플랫폼을 통해 다수의 투자자 자금을 모아 차입자에게 대출해주는 금융 중개업,여러 사람의 돈을 모아 필요한 사람에게 연결해주는 ‘디지털 금융 다리’,혁신 금융서비스로서 비은행권 대출의 투명성과 투자자 보호를 제도권 안으로 포함한 제도적 틀,"P2P 대출과 완전히 동일하지 않으며, 법적 인가를 받은 업체만이 정식 온라인투자연계금융업자로 활동 가능",해당 스타트업은 금융위원회 인가를 받아 온라인투자연계금융업자로 등록하고 개인 간 대출 서비스를 운영 중이다.
,Online Investment-linked Finance Business,온라인 플랫폼을 통해 다수의 투자자 자금을 모아 차입자에게 대출해주는 금융 중개업,여러 사람의 돈을 모아 필요한 사람에게 연결해주는 ‘디지털 금융 다리’,혁신 금융서비스로서 비은행권 대출의 투명성과 투자자 보호를 제도권 안으로 포함한 제도적 틀,"P2P 대출과 완전히 동일하지 않으며, 법적 인가를 받은 업체만이 정식 온라인투자연계금융업자로 활동 가능",해당 스타트업은 금융위원회 인가를 받아 온라인투자연계금융업자로 등록하고 개인 간 대출 서비스를 운영 중이다.
,",",,,,,
